date,close,high,low,open,volume,tr,atr,rolling_high,rolling_low,upper_threshold,lower_threshold,signal,position_pct,cash,shares,portfolio_value,equity_pct,risk_budget,max_position_pct,signal_strength
2025-01-22,103653.0703125,106294.34375,103360.265625,106136.3828125,53878181052,2934.078125,4489.99609375,109114.8828125,89260.1015625,115849.876953125,82525.107421875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-23,103960.171875,106820.328125,101257.8046875,103657.671875,104104515428,5562.5234375,4592.399553571428,109114.8828125,89260.1015625,116003.48214285714,82371.50223214286,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-24,104819.484375,107098.546875,102772.125,103965.671875,52388229265,4326.421875,4649.964285714285,109114.8828125,89260.1015625,116089.82924107142,82285.15513392858,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-25,104714.6484375,105243.7890625,104120.375,104824.03125,23888996502,1123.4140625,4648.948102678572,109114.8828125,89260.1015625,116088.30496651786,82286.67940848214,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-26,102682.5,105438.6484375,102507.7109375,104713.2109375,22543395879,2930.9375,4740.084263392857,109114.8828125,89260.1015625,116225.00920758929,82149.97516741071,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-27,102087.6875,103214.109375,97795.9375,102680.3046875,89006608428,5418.171875,4657.318080357143,109114.8828125,89260.1015625,116100.85993303571,82274.12444196429,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-28,101332.4765625,103730.8203125,100238.1875,102095.4140625,47180685494,3492.6328125,4690.327008928572,109114.8828125,89260.1015625,116150.37332589286,82224.61104910714,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-29,103703.2109375,104750.8046875,101283.8203125,101317.5234375,47432049818,3466.984375,4638.283482142857,109114.8828125,89260.1015625,116072.30803571429,82302.67633928571,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-30,104735.3046875,106418.765625,103321.6484375,103709.3359375,41915744521,3097.1171875,4615.424665178572,109114.8828125,89260.1015625,116038.01981026786,82336.96456473214,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2025-01-31,102405.0234375,106026.3515625,101543.8828125,104737.5625,45732764360,4482.46875,4497.935267857143,109114.8828125,89260.1015625,115861.78571428571,82513.19866071429,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
